Country,Count
naked mole rat,1
Hash&amp;Slack,1
af83,1
Criteo,1
23,1
"Declare variables, not war!",1
͡° ͜ʖ ͡°) #trololo,1
sigmaBoys,1
Aliens,1
Scalabricot,1
Awesome OLD MiNET Team,1
PPP,1
ECP++,1
RPK,1
Serenity,1
DividedByZero,1
3434,1
abcd,1
VisioN CampaigN FaR,1
Jambonneau,1
biznaga,1
lappis,1
decltype(auto),1
VISA,1
L'Effort En Ordinateur,1
DLCADDB,1
HashCollision,1
NutellaTeam,1
Telecom Voodoo,1
MEGEClemAlex,1
steakHashE,1
INSA Lyon 11,1
Hugadajo,1
AlThoYo,1
Minorités visibles,1
"Croatia
Czechia
Italy
United Kingdom",1
"Romania
Serbia
United Kingdom",1
"Belarus
Sweden
Turkey",1
"Belarus
Morocco
Netherlands
Poland",1
"Greece
Latvia
United Kingdom",1
"Switzerland
United Kingdom",1
"Poland
Romania
United Kingdom",1
"Serbia
United Kingdom",1
pony7,1
"Georgia
Switzerland",1
Myanmar,1
"France
United Kingdom",1
"Croatia
Switzerland",1
"Austria
Norway
Russia",1
"France
Italy",1
"Slovakia
Switzerland",1
"Germany
Switzerland",1
"Belarus
Ukraine",1
"Russia
Switzerland",1
ENS Ulm 1,1
hackEns,1
What's in a name?,1
Les Autruches,1
SPOT,1
ENSLyonL3,1
Normalisation,1
Team Rocket,1
MagiX,1
Arma,1
Les chevaliers de l'établi rond,1
doucri,1
Capgenious,1
Les Geeks d'Orléans,1
Looney Tunes,1
"Good news, everyone!",1
funny-noise,1
"Canada
United States",1
uw3000,1
WarsawEaters,1
BasicInstincts,1
DrinkLess,1
SRM,1
Room_101,1
WeKings_SB_Forever,1
Saratov.SU2.Retired,1
Jackhammer,1
UPC-Unflapipes,1
Grotzsch_Men,1
"Russia
United Kingdom
United States",1
OrelSTU,1
Warm Apple Pie - Charles University,1
∮BdA = 0,1
sparrows24,1
"Ni hao, panda!",1
UPC/UAM - Si es que va!,1
"France
Georgia
Poland
Romania",1
Basic Instincts,1
PUT,1
Budubump,1
groundwater underflow,1
UPC - Unflapipes Pintamones Cagamandúrries,1
Örökké tartó WeKings SB Barátság,1
UPC - Reisub,1
#define lever (int i=0;i<1<<n;++i),1
Insufficient Intelligence,1
"Sweden
United States",1
NP-Complete,1
groundwater,1
"France
Poland
Romania",1
Guetteurs de Pingouins,1
Kognus,1
"Poland
Russia",1
cheesesteakjimmys,1
multiplexer,1
A211,1
NoException,1
"Brazil
Poland
Romania",1
PatatasBravas,1
UPC-Reisub,1
phd's ease,1
wirra,1
MegaFlops,1
Arena,1
My Big Pony,1
Activeeon,1
"Kazakhstan
Russia",1
Oman,1
"Belarus
Russia
United Kingdom",1
"South Africa
United States",1
"Russia
United States",1
"Slovakia
Sweden",1
"Hungary
Slovakia",1
"Latvia
Lithuania",1
"Croatia
United States",1
balloonsRus,1
Eventually_almost_surely_correct,1
The_Teddyborg,1
Monkey_Island,1
O.o,1
Nemterminisztikus_fogoritmus,1
UPC-Siesqueva,1
Sparrows24,1
DrakkarBananas,1
